"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
2354,"gemm_xs.kd",1,0,2557,611771,611771,1114112,64,1536,0,96,0,128,32,"0x0","0x751020995f00",255614345816588,255626787315239,255626787756780,255614363790812,441541
2355,"gemm_xs.kd",1,1,118,611771,611771,1114112,64,1536,0,96,0,128,32,"0x0","0x751020995f00",255614345818938,255626787317390,255626787760996,255614363805632,443606
2356,"silu_mul.kd",1,0,2559,611771,611771,17408,64,0,0,16,0,128,32,"0x0","0x751020996680",255614345823508,255626787772195,255626787775385,255614363848461,3190
2357,"quant_q8.kd",1,0,2560,611771,611771,576,64,0,0,48,0,128,32,"0x0","0x751020995e40",255614345825728,255626787777883,255626787780605,255614363864290,2722
2358,"gemm_xs.kd",1,0,2561,611771,611771,327680,64,1536,0,96,0,128,32,"0x0","0x751020995f00",255614345828308,255626787783179,255626787997504,255614364016277,214325
2359,"axpy_scaled.kd",1,0,2562,611771,611771,5120,64,0,0,8,0,128,32,"0x0","0x751020996700",255614345830408,255626788004760,255626788006245,255614364031827,1485
2360,"rmsq.kd",1,0,2563,611771,611771,32,32,512,0,80,0,128,32,"0x0","0x751020995e80",255614345832678,255626788008181,255626788031355,255614364046417,23174
2361,"gemm_q4k.kd",1,0,2565,611771,611771,655360,64,512,0,40,0,128,32,"0x0","0x751020996300",255614345838608,255626788036603,255626788247420,255614364250452,210817
2362,"gemm_q4k.kd",1,1,121,611771,611771,393216,64,512,0,40,0,128,32,"0x0","0x751020996300",255614345840958,255626788038654,255626788208995,255614364222973,170341
2363,"gemm_q8_0.kd",1,0,2568,611771,611771,3072,64,512,0,32,0,128,32,"0x0","0x751020995fc0",255614345848768,255626788254440,255626788260975,255614364319631,6535
2364,"gemm_q8_0.kd",1,1,124,611771,611771,3072,64,512,0,32,0,128,32,"0x0","0x751020995fc0",255614345850708,255626788256141,255626788261705,255614364334511,5564
2365,"gdn_conv.kd",1,0,2570,611771,611771,327680,32,0,0,8,0,128,32,"0x0","0x751020996840",255614345855977,255626788268351,255626788312599,255614364375690,44248
2366,"split3.kd",1,0,2571,611771,611771,10240,64,0,0,8,0,128,32,"0x0","0x751020996b40",255614345858797,255626788314893,255626788316060,255614364390119,1167
2367,"l2_rows2_scale.kd",1,0,2572,611771,611771,1024,32,0,0,8,0,128,32,"0x0","0x751020996ac0",255614345861007,255626788318323,255626788344592,255614364404439,26269
2368,"gdn_beta_g.kd",1,0,2573,611771,611771,64,64,0,0,24,0,128,32,"0x0","0x751020996940",255614345864047,255626788346889,255626788349984,255614364429809,3095
2369,"gdn_ar.kd",1,0,2574,611771,611771,6144,128,0,0,16,0,128,32,"0x0","0x751020996a00",255614345866117,255626788352107,255626788452560,255614364445378,100453
2370,"gatedq.kd",1,0,2575,611771,611771,1536,32,0,0,160,0,128,32,"0x0","0x7510209969c0",255614345869047,255626788455091,255626788477866,255614364472658,22775
2371,"gemm_q5k.kd",1,0,2576,611771,611771,327680,64,512,0,48,0,128,32,"0x0","0x751020995f40",255614345871207,255626788480526,255626788578244,255614364621345,97718
2372,"axpy_scaled.kd",1,0,2577,611771,611771,5120,64,0,0,8,0,128,32,"0x0","0x751020996700",255614345873027,255626788585627,255626788587137,255614364636084,1510
2373,"rmsq.kd",1,0,2578,611771,611771,32,32,512,0,80,0,128,32,"0x0","0x751020995e80",255614345875047,255626788589418,255626788607207,255614364650384,17789
2374,"gemm_xs.kd",1,0,2580,611771,611771,1114112,64,1536,0,96,0,128,32,"0x0","0x751020995f00",255614345883327,255626788612123,255626789047975,255614365108464,435852
2375,"gemm_xs.kd",1,1,127,611771,611771,1114112,64,1536,0,96,0,128,32,"0x0","0x751020995f00",255614345885587,255626788613743,255626789052968,255614365123034,439225
2376,"silu_mul.kd",1,0,2582,611771,611771,17408,64,0,0,16,0,128,32,"0x0","0x751020996680",255614345890447,255626789064202,255626789068199,255614365061825,3997
2377,"quant_q8.kd",1,0,2583,611771,611771,576,64,0,0,48,0,128,32,"0x0","0x751020995e40",255614345892717,255626789070064,255626789072394,255614365148944,2330
2378,"gemm_q4k.kd",1,0,2584,611771,611771,327680,64,512,0,40,0,128,32,"0x0","0x751020996300",255614345895397,255626789074773,255626789297609,255614365297690,222836
2379,"axpy_scaled.kd",1,0,2585,611771,611771,5120,64,0,0,8,0,128,32,"0x0","0x751020996700",255614345897217,255626789304703,255626789305822,255614365312820,1119
2380,"rmsq.kd",1,0,2586,611771,611771,32,32,512,0,80,0,128,32,"0x0","0x751020995e80",255614345900137,255626789307978,255626789325562,255614365367329,17584
2381,"gemm_q5k.kd",1,0,2588,611771,611771,655360,64,512,0,48,0,128,32,"0x0","0x751020995f40",255614346007934,255626789330468,255626789563483,255614365664533,233015
2382,"gemm_xs.kd",1,1,130,611771,611771,393216,64,1536,0,96,0,128,32,"0x0","0x751020995f00",255614346011154,255626789332528,255626789519503,255614365520776,186975
2383,"gemm_q8_0.kd",1,0,2591,611771,611771,3072,64,512,0,32,0,128,32,"0x0","0x751020995fc0",255614346062543,255626789570683,255626789577429,255614365680082,6746
2384,"gemm_q8_0.kd",1,1,133,611771,611771,3072,64,512,0,32,0,128,32,"0x0","0x751020995fc0",255614346065653,255626789572397,255626789577977,255614365695582,5580
2385,"gdn_conv.kd",1,0,2593,611771,611771,327680,32,0,0,8,0,128,32,"0x0","0x751020996840",255614346071343,255626789584932,255626789628950,255614365736691,44018
2386,"split3.kd",1,0,2594,611771,611771,10240,64,0,0,8,0,128,32,"0x0","0x751020996b40",255614346073133,255626789631261,255626789632321,255614365751191,1060
2387,"l2_rows2_scale.kd",1,0,2595,611771,611771,1024,32,0,0,8,0,128,32,"0x0","0x751020996ac0",255614346075143,255626789634702,255626789661116,255614365765761,26414
2388,"gdn_beta_g.kd",1,0,2596,611771,611771,64,64,0,0,24,0,128,32,"0x0","0x751020996940",255614346077773,255626789663385,255626789667356,255614365780290,3971
2389,"gdn_ar.kd",1,0,2597,611771,611771,6144,128,0,0,16,0,128,32,"0x0","0x751020996a00",255614346080483,255626789669460,255626789769488,255614365794780,100028
2390,"gatedq.kd",1,0,2598,611771,611771,1536,32,0,0,160,0,128,32,"0x0","0x7510209969c0",255614346083043,255626789772149,255626789791968,255614365809180,19819
2391,"gemm_q5k.kd",1,0,2599,611771,611771,327680,64,512,0,48,0,128,32,"0x0","0x751020995f40",255614346085563,255626789794288,255626789891960,255614365894728,97672
2392,"axpy_scaled.kd",1,0,2600,611771,611771,5120,64,0,0,8,0,128,32,"0x0","0x751020996700",255614346087453,255626789894307,255626789896171,255614365909668,1864
